location,criteria,value,unit,source
Egypt,Resource use,3.39E-08,kg SB eq.,Base IMPACTS v3.01
El Salvador,Climate change,0.466744,kgCO2eq,Base IMPACTS v3.01
El Salvador,Resource use,4.72E-08,kg SB eq.,Base IMPACTS v3.01
Eritrea,Climate change,1.09754,kgCO2eq,Base IMPACTS v3.01
Eritrea,Resource use,5.12E-08,kg SB eq.,Base IMPACTS v3.01
Estonia,Climate change,1.48507,kgCO2eq,Base IMPACTS v3.01
Estonia,Resource use,9.90E-08,kg SB eq.,Base IMPACTS v3.01
Ethiopia,Climate change,0.245382,kgCO2eq,Base IMPACTS v3.01
Ethiopia,Resource use,1.74E-07,kg SB eq.,Base IMPACTS v3.01
Europe,Climate change,0.502578,kgCO2eq,Base IMPACTS v3.01
Europe,Resource use,6.42E-08,kg SB eq.,Base IMPACTS v3.01
Finland,Climate change,0.318522,kgCO2eq,Base IMPACTS v3.01
Finland,Resource use,8.05E-08,kg SB eq.,Base IMPACTS v3.01
France,Climate change,0.0800844,kgCO2eq,Base IMPACTS v3.01
France,Resource use,4.86E-08,kg SB eq.,Base IMPACTS v3.01
Gabon,Climate change,0.706797,kgCO2eq,Base IMPACTS v3.01
Gabon,Resource use,1.14E-07,kg SB eq.,Base IMPACTS v3.01
Georgia,Climate change,0.130664,kgCO2eq,Base IMPACTS v3.01
Georgia,Resource use,1.38E-07,kg SB eq.,Base IMPACTS v3.01
Germany,Climate change,0.650114,kgCO2eq,Base IMPACTS v3.01
Germany,Resource use,8.79E-08,kg SB eq.,Base IMPACTS v3.01
Ghana,Climate change,0.525297,kgCO2eq,Base IMPACTS v3.01
Ghana,Resource use,1.56E-07,kg SB eq.,Base IMPACTS v3.01
Gibraltar,Climate change,0.964173,kgCO2eq,Base IMPACTS v3.01
Gibraltar,Resource use,2.86E-08,kg SB eq.,Base IMPACTS v3.01
Greece,Climate change,1.12069,kgCO2eq,Base IMPACTS v3.01
Greece,Resource use,6.92E-08,kg SB eq.,Base IMPACTS v3.01
Guatemala,Climate change,0.636438,kgCO2eq,Base IMPACTS v3.01
Guatemala,Resource use,8.03E-08,kg SB eq.,Base IMPACTS v3.01
Haiti,Climate change,1.36552,kgCO2eq,Base IMPACTS v3.01
Haiti,Resource use,9.37E-08,kg SB eq.,Base IMPACTS v3.01
Honduras,Climate change,0.683039,kgCO2eq,Base IMPACTS v3.01
Honduras,Resource use,6.49E-08,kg SB eq.,Base IMPACTS v3.01
Hong Kong,Climate change,0.941727,kgCO2eq,Base IMPACTS v3.01
Hong Kong,Resource use,8.16E-08,kg SB eq.,Base IMPACTS v3.01
Hungary,Climate change,0.530131,kgCO2eq,Base IMPACTS v3.01
Hungary,Resource use,6.45E-08,kg SB eq.,Base IMPACTS v3.01
Iceland,Climate change,0.0194256,kgCO2eq,Base IMPACTS v3.01
Iceland,Resource use,7.82E-08,kg SB eq.,Base IMPACTS v3.01
India,Climate change,1.56851,kgCO2eq,Base IMPACTS v3.01
India,Resource use,1.00E-07,kg SB eq.,Base IMPACTS v3.01
Indonesia,Climate change,0.86401,kgCO2eq,Base IMPACTS v3.01
Indonesia,Resource use,6.10E-08,kg SB eq.,Base IMPACTS v3.01
Iran. Islamic Republic Of,Climate change,0.922903,kgCO2eq,Base IMPACTS v3.01
Iran. Islamic Republic Of,Resource use,2.20E-08,kg SB eq.,Base IMPACTS v3.01
Iraq,Climate change,1.46643,kgCO2eq,Base IMPACTS v3.01
Iraq,Resource use,4.04E-08,kg SB eq.,Base IMPACTS v3.01
Ireland,Climate change,0.642454,kgCO2eq,Base IMPACTS v3.01
Ireland,Resource use,2.19E-08,kg SB eq.,Base IMPACTS v3.01
Israel,Climate change,0.887793,kgCO2eq,Base IMPACTS v3.01
Israel,Resource use,6.10E-08,kg SB eq.,Base IMPACTS v3.01
Italy,Climate change,0.609706,kgCO2eq,Base IMPACTS v3.01
Italy,Resource use,5.44E-08,kg SB eq.,Base IMPACTS v3.01
Jamaica,Climate change,1.05653,kgCO2eq,Base IMPACTS v3.01
Jamaica,Resource use,1.96E-08,kg SB eq.,Base IMPACTS v3.01
Japan,Climate change,0.535015,kgCO2eq,Base IMPACTS v3.01
Japan,Resource use,5.97E-08,kg SB eq.,Base IMPACTS v3.01
Jordan,Climate change,0.779847,kgCO2eq,Base IMPACTS v3.01
Jordan,Resource use,1.47E-08,kg SB eq.,Base IMPACTS v3.01
Kazakhstan,Climate change,1.10834,kgCO2eq,Base IMPACTS v3.01
Kazakhstan,Resource use,1.35E-07,kg SB eq.,Base IMPACTS v3.01
Kenya,Climate change,0.573074,kgCO2eq,Base IMPACTS v3.01
Kenya,Resource use,9.59E-08,kg SB eq.,Base IMPACTS v3.01
Korea. Democratic People's Republic Of,Climate change,0.783661,kgCO2eq,Base IMPACTS v3.01
Korea. Democratic People's Republic Of,Resource use,1.17E-07,kg SB eq.,Base IMPACTS v3.01
Korea. Republic Of,Climate change,0.591345,kgCO2eq,Base IMPACTS v3.01
Korea. Republic Of,Resource use,5.18E-08,kg SB eq.,Base IMPACTS v3.01
Kuwait,Climate change,0.883012,kgCO2eq,Base IMPACTS v3.01
Kuwait,Resource use,1.41E-08,kg SB eq.,Base IMPACTS v3.01
Kyrgyzstan,Climate change,0.154063,kgCO2eq,Base IMPACTS v3.01
Kyrgyzstan,Resource use,1.82E-07,kg SB eq.,Base IMPACTS v3.01
Latvia,Climate change,0.232701,kgCO2eq,Base IMPACTS v3.01
Latvia,Resource use,1.54E-07,kg SB eq.,Base IMPACTS v3.01
Lebanon,Climate change,0.882968,kgCO2eq,Base IMPACTS v3.01
Lebanon,Resource use,1.82E-08,kg SB eq.,Base IMPACTS v3.01
Libyan Arab Jamahiriya,Climate change,1.34136,kgCO2eq,Base IMPACTS v3.01
Libyan Arab Jamahiriya,Resource use,2.07E-08,kg SB eq.,Base IMPACTS v3.01
Lithuania,Climate change,0.153384,kgCO2eq,Base IMPACTS v3.01
Lithuania,Resource use,2.95E-08,kg SB eq.,Base IMPACTS v3.01
Luxembourg,Climate change,0.487433,kgCO2eq,Base IMPACTS v3.01
Luxembourg,Resource use,1.06E-07,kg SB eq.,Base IMPACTS v3.01
Macedonia. The Former Yugoslav Republic Of,Climate change,1.23158,kgCO2eq,Base IMPACTS v3.01
Macedonia. The Former Yugoslav Republic Of,Resource use,1.20E-07,kg SB eq.,Base IMPACTS v3.01
Malaysia,Climate change,0.819432,kgCO2eq,Base IMPACTS v3.01
Malaysia,Resource use,4.49E-08,kg SB eq.,Base IMPACTS v3.01
Malta,Climate change,1.30274,kgCO2eq,Base IMPACTS v3.01
Malta,Resource use,4.95E-08,kg SB eq.,Base IMPACTS v3.01
Mexico,Climate change,0.72463,kgCO2eq,Base IMPACTS v3.01
Mexico,Resource use,5.78E-08,kg SB eq.,Base IMPACTS v3.01
Moldova. Republic Of,Climate change,1.03023,kgCO2eq,Base IMPACTS v3.01
Moldova. Republic Of,Resource use,1.11E-07,kg SB eq.,Base IMPACTS v3.01
Mongolia,Climate change,1.46387,kgCO2eq,Base IMPACTS v3.01
Mongolia,Resource use,1.76E-07,kg SB eq.,Base IMPACTS v3.01
Morocco,Climate change,0.917369,kgCO2eq,Base IMPACTS v3.01
Morocco,Resource use,6.41E-08,kg SB eq.,Base IMPACTS v3.01
Mozambique,Climate change,0.00876726,kgCO2eq,Base IMPACTS v3.01
Mozambique,Resource use,1.48E-07,kg SB eq.,Base IMPACTS v3.01
Myanmar,Climate change,0.479663,kgCO2eq,Base IMPACTS v3.01
Myanmar,Resource use,1.53E-07,kg SB eq.,Base IMPACTS v3.01
Namibia,Climate change,0.349386,kgCO2eq,Base IMPACTS v3.01
Namibia,Resource use,1.28E-07,kg SB eq.,Base IMPACTS v3.01
Nepal,Climate change,0.0840183,kgCO2eq,Base IMPACTS v3.01
Nepal,Resource use,2.38E-07,kg SB eq.,Base IMPACTS v3.01
Netherlands,Climate change,0.539413,kgCO2eq,Base IMPACTS v3.01
Netherlands,Resource use,3.29E-08,kg SB eq.,Base IMPACTS v3.01
Netherlands Antilles,Climate change,1.12405,kgCO2eq,Base IMPACTS v3.01
Netherlands Antilles,Resource use,4.49E-08,kg SB eq.,Base IMPACTS v3.01
New Zealand,Climate change,0.290533,kgCO2eq,Base IMPACTS v3.01
New Zealand,Resource use,7.20E-08,kg SB eq.,Base IMPACTS v3.01
Nicaragua,Climate change,0.927237,kgCO2eq,Base IMPACTS v3.01
Nicaragua,Resource use,4.15E-08,kg SB eq.,Base IMPACTS v3.01
Nigeria,Climate change,0.665151,kgCO2eq,Base IMPACTS v3.01
Nigeria,Resource use,6.21E-08,kg SB eq.,Base IMPACTS v3.01
Norway,Climate change,0.0236977,kgCO2eq,Base IMPACTS v3.01
Norway,Resource use,1.27E-07,kg SB eq.,Base IMPACTS v3.01
Oman,Climate change,1.39746,kgCO2eq,Base IMPACTS v3.01
Oman,Resource use,3.74E-08,kg SB eq.,Base IMPACTS v3.01
Pakistan,Climate change,0.740398,kgCO2eq,Base IMPACTS v3.01
Pakistan,Resource use,8.43E-08,kg SB eq.,Base IMPACTS v3.01
Panama,Climate change,0.527224,kgCO2eq,Base IMPACTS v3.01
Panama,Resource use,7.91E-08,kg SB eq.,Base IMPACTS v3.01
Paraguay,Climate change,0.241576,kgCO2eq,Base IMPACTS v3.01
Paraguay,Resource use,1.49E-07,kg SB eq.,Base IMPACTS v3.01
Peru,Climate change,0.280265,kgCO2eq,Base IMPACTS v3.01
Peru,Resource use,9.53E-08,kg SB eq.,Base IMPACTS v3.01
Philippines,Climate change,0.750161,kgCO2eq,Base IMPACTS v3.01
Philippines,Resource use,5.95E-08,kg SB eq.,Base IMPACTS v3.01
Poland,Climate change,1.13922,kgCO2eq,Base IMPACTS v3.01
Poland,Resource use,1.02E-07,kg SB eq.,Base IMPACTS v3.01
Portugal,Climate change,0.557252,kgCO2eq,Base IMPACTS v3.01
Portugal,Resource use,3.42E-08,kg SB eq.,Base IMPACTS v3.01
Qatar,Climate change,0.712802,kgCO2eq,Base IMPACTS v3.01
Qatar,Resource use,1.32E-08,kg SB eq.,Base IMPACTS v3.01
Romania,Climate change,0.65913,kgCO2eq,Base IMPACTS v3.01
Romania,Resource use,9.82E-08,kg SB eq.,Base IMPACTS v3.01
Russian Federation,Climate change,0.651906,kgCO2eq,Base IMPACTS v3.01
Russian Federation,Resource use,9.60E-08,kg SB eq.,Base IMPACTS v3.01
Saudi Arabia,Climate change,0.912363,kgCO2eq,Base IMPACTS v3.01
Saudi Arabia,Resource use,1.34E-08,kg SB eq.,Base IMPACTS v3.01
Senegal,Climate change,1.08583,kgCO2eq,Base IMPACTS v3.01
Senegal,Resource use,4.71E-08,kg SB eq.,Base IMPACTS v3.01
Serbia ,Climate change,1.06982,kgCO2eq,Base IMPACTS v3.01
Serbia ,Resource use,1.33E-07,kg SB eq.,Base IMPACTS v3.01
Singapore,Climate change,0.650369,kgCO2eq,Base IMPACTS v3.01
Singapore,Resource use,1.98E-08,kg SB eq.,Base IMPACTS v3.01
Slovakia,Climate change,0.302278,kgCO2eq,Base IMPACTS v3.01
Slovakia,Resource use,6.06E-08,kg SB eq.,Base IMPACTS v3.01
Slovenia,Climate change,0.489853,kgCO2eq,Base IMPACTS v3.01
Slovenia,Resource use,9.92E-08,kg SB eq.,Base IMPACTS v3.01
South Africa,Climate change,1.14915,kgCO2eq,Base IMPACTS v3.01
South Africa,Resource use,8.62E-08,kg SB eq.,Base IMPACTS v3.01
Spain,Climate change,0.459194,kgCO2eq,Base IMPACTS v3.01
Spain,Resource use,5.18E-08,kg SB eq.,Base IMPACTS v3.01
Sri Lanka,Climate change,0.702977,kgCO2eq,Base IMPACTS v3.01
Sri Lanka,Resource use,9.87E-08,kg SB eq.,Base IMPACTS v3.01
Sudan,Climate change,1.09165,kgCO2eq,Base IMPACTS v3.01
Sudan,Resource use,9.56E-08,kg SB eq.,Base IMPACTS v3.01
Sweden,Climate change,0.0460693,kgCO2eq,Base IMPACTS v3.01
Sweden,Resource use,7.77E-08,kg SB eq.,Base IMPACTS v3.01
Switzerland,Climate change,0.0443671,kgCO2eq,Base IMPACTS v3.01
Switzerland,Resource use,1.00E-07,kg SB eq.,Base IMPACTS v3.01
Syrian Arab Republic,Climate change,1.08645,kgCO2eq,Base IMPACTS v3.01
Syrian Arab Republic,Resource use,2.68E-08,kg SB eq.,Base IMPACTS v3.01
Taiwan. Province Of China,Climate change,0.833107,kgCO2eq,Base IMPACTS v3.01
Taiwan. Province Of China,Resource use,5.78E-08,kg SB eq.,Base IMPACTS v3.01
Tajikistan,Climate change,0.0423304,kgCO2eq,Base IMPACTS v3.01
Tajikistan,Resource use,1.53E-07,kg SB eq.,Base IMPACTS v3.01
Tanzania. United Republic Of,Climate change,0.457731,kgCO2eq,Base IMPACTS v3.01
Tanzania. United Republic Of,Resource use,1.32E-07,kg SB eq.,Base IMPACTS v3.01
Thailand,Climate change,0.641195,kgCO2eq,Base IMPACTS v3.01
Thailand,Resource use,5.70E-08,kg SB eq.,Base IMPACTS v3.01
Togo,Climate change,0.530241,kgCO2eq,Base IMPACTS v3.01
Togo,Resource use,1.34E-07,kg SB eq.,Base IMPACTS v3.01
Trinidad and Tobago,Climate change,0.909828,kgCO2eq,Base IMPACTS v3.01
Trinidad and Tobago,Resource use,6.46E-08,kg SB eq.,Base IMPACTS v3.01
Tunisia,Climate change,0.794454,kgCO2eq,Base IMPACTS v3.01
Tunisia,Resource use,1.77E-08,kg SB eq.,Base IMPACTS v3.01
Turkey,Climate change,0.698449,kgCO2eq,Base IMPACTS v3.01
Turkey,Resource use,7.50E-08,kg SB eq.,Base IMPACTS v3.01
Turkmenistan,Climate change,1.36691,kgCO2eq,Base IMPACTS v3.01
Turkmenistan,Resource use,1.32E-07,kg SB eq.,Base IMPACTS v3.01
Ukraine,Climate change,0.635059,kgCO2eq,Base IMPACTS v3.01
Ukraine,Resource use,6.48E-08,kg SB eq.,Base IMPACTS v3.01
United Arab Emirates,Climate change,1.08847,kgCO2eq,Base IMPACTS v3.01
United Arab Emirates,Resource use,1.42E-08,kg SB eq.,Base IMPACTS v3.01
United Kingdom,Climate change,0.592917,kgCO2eq,Base IMPACTS v3.01
United Kingdom,Resource use,3.71E-08,kg SB eq.,Base IMPACTS v3.01
United States,Climate change,0.672606,kgCO2eq,Base IMPACTS v3.01
United States,Resource use,9.86E-08,kg SB eq.,Base IMPACTS v3.01
Uruguay,Climate change,0.295406,kgCO2eq,Base IMPACTS v3.01
Uruguay,Resource use,1.05E-07,kg SB eq.,Base IMPACTS v3.01
Uzbekistan,Climate change,0.80197,kgCO2eq,Base IMPACTS v3.01
Uzbekistan,Resource use,1.04E-07,kg SB eq.,Base IMPACTS v3.01
Venezuela,Climate change,0.494177,kgCO2eq,Base IMPACTS v3.01
Venezuela,Resource use,1.13E-07,kg SB eq.,Base IMPACTS v3.01
Vietnam,Climate change,0.54962,kgCO2eq,Base IMPACTS v3.01
Vietnam,Resource use,9.46E-08,kg SB eq.,Base IMPACTS v3.01
World,Climate change,0.0222457,kgCO2eq,Base IMPACTS v3.01
World,Resource use,1.35E-08,kg SB eq.,Base IMPACTS v3.01
Yemen,Climate change,1.06699,kgCO2eq,Base IMPACTS v3.01
Yemen,Resource use,1.64E-08,kg SB eq.,Base IMPACTS v3.01
Zambia,Climate change,0.0140257,kgCO2eq,Base IMPACTS v3.01
Zambia,Resource use,1.62E-07,kg SB eq.,Base IMPACTS v3.01
Zimbabwe,Climate change,0.823938,kgCO2eq,Base IMPACTS v3.01
Zimbabwe,Resource use,1.10E-07,kg SB eq.,Base IMPACTS v3.01
